㓦划	bo hua
薄祚寒门	bo zuo han men
薄祜	bo hu
薄禄相	bo lu xiang
薄福	bo fu
薄礼	bo li
薄篮	bo lan
薄纱	bo sha
薄绍之	bo shao zhi
薄翅黄蝶	bo chi huang die
薄耆	bo qi
薄脆	bo cui
薄唇轻言	bo chun qing yan
薄膜	bo mo
薄膜剥离法	bo mo bo li fa
薄脸	bo lian
薄荷	bo he
薄荷油	bo he you
薄荷精	bo he jing
薄荷脑	bo he nao
薄落	bo luo
薄薄	bo bo
薄薄怯怯	bo bo que que
薄薄的	bao bao de
薄蓝	bo lan
薄行	bo xing
薄装	bo zhuang
薄亲	bo qin
薄识	bo shi
薄贴	bo tie
薄贱	bo jian
薄遽	bo ju
薄酌	bo zhuo
薄酬	bo chou
薄醉	bo zui
薄陋	bo lou
薄云	bo yun
薄面	bo mian
薄面含嗔	bo mian han chen
薄头	bo tou
薄饼	bo bing
薄鬓	bo bin
荟萃	hui cui
荟萃一堂	hui cui yi tang
荟蔚	hui wei
蔷薇露	qiang wei lu
薙发	ti fa
薙发令	ti fa ling
薜罗	bi luo
薜荔	bi li
薢茩	xie gou
薤白	xie bai
薤露	xie lu
薨薨	hong hong
薨逝	hong shi
萨尔浒之战	sa er hu zhi zhan
萨都剌	sa du la
薪给	xin ji
薯莨	shu liang
荠菜	ji cai
荠苧	ji ning
藉助	jie zhu
藉卉	jie hui
借口	jie kou
藉寇兵	jie kou bing
藉手	jie shou
借故	jie gu
藉槁	jie gao
借机	jie ji
藉甚	jie shen
借端	jie duan
藉箸代筹	jie zhu dai chou
藉草枕块	jie cao zhen kuai
借借	ji ji
借词	jie ci
藋粱	di liang
蓝调	lan diao
蓝靛	lan dian
蓝点颏	lan dian hai
藏之名山	cang zhi ming shan
藏人	zang ren
藏传佛教	zang chuan fo jiao
藏北高原	zang bei gao yuan
藏匿	cang ni
藏区	zang qu
藏南纵谷	zang nan zong gu
藏品	cang pin
藏器待时	cang qi dai shi
藏在	cang zai
藏垢怀耻	cang gou huai chi
藏垢纳污	cang gou na wu
藏奸	cang jian
藏娇	cang jiao
藏室史	cang shi shi
藏宝	cang bao
藏幸	cang xing
藏形	cang xing
藏形匿影	cang xing ni ying
藏怒	cang nu
藏愚	cang yu
藏拙	cang zhuo
藏掖	cang ye
藏掩	cang yan
藏擫	cang ye
藏文	zang wen
藏族	zang zu
藏历	zang li
藏书	cang shu
藏书票	cang shu piao
藏有	cang you
藏机	cang ji
藏民	zang min
藏污纳垢	cang wu na gou
藏活	cang huo
藏獒	zang ao
藏着	cang zhe
藏私	cang si
藏精器	cang jing qi
藏红花	zang hong hua
藏经	zang jing
藏羚羊	zang ling yang
藏舟难固	cang zhou nan gu
藏蓝	zang lan
藏藏躲躲	cang cang duo duo
藏词	cang ci
藏语	zang yu
藏诸名山	cang zhu ming shan
藏起来	cang qi lai
藏身	cang shen
藏躲	cang duo
藏针缝	cang zhen feng
藏钩	cang gou
藏锋	cang feng
藏锋敛锷	cang feng lian e
藏青	zang qing
藏头亢脑	cang tou kang nao
藏头漏影	cang tou lou ying
藏头露尾	cang tou lu wei
藏风聚气	cang feng ju qi
藏香	zang xiang
藏鬮	cang jiu
藏龙臥虎	cang long wo hu
藐姑射	miao gu ye
藕披	ou pi
艺压当行	yi ya dang hang
藤蔓	teng man
药捻子	yao nian zi
药械	yao xie
药发傀儡	yao fa kui lei
药行	yao hang
药骰	yao tou
藷蔗	zhu zhe
芦菔	lu fu
芦荟	lu hui
苏公隄	su gong ti
苏州弹词	su zhou tan ci
苏州评弹	su zhou ping tan
苏打饼干	su da bing gan
苏泊尔	su bo er
苏辙	su che
苏辙	su zhe
苏门长啸	su men chang xiao
苏隄	su ti
蕴含	yun han
蕴奇待价	yun qi dai jia
蕴涵	yun han
蕴结	yun jie
蕴蓄	yun xu
蕴借	yun jie
蕴借含蓄	yun jie han xu
蕴藏	yun cang
蕴蔼	yun ai
苹叶	pin ye
苹风	pin feng
蘗米	bo mi
蘧伯玉	qu bo yu
兰桡	lan nao
兰臭	lan xiu
兰若	lan re
兰茝	lan chai
兰釭	lan gang
兰陔	lan gai
蘮蒘	ji ru
萝卜干	luo bo gan
虎兕出柙	hu si chu xia
虎劲	hu jin
虎咽狼吞	hu yan lang tun
虎圈	hu juan
虎榜	hu bang
虎步龙行	hu bu long xing
虎爪	hu zhao
虎爪	hu zhua
虎爪拳	hu zhao quan
虎爪拳	hu zhua quan
虎爪豆	hu zhao dou
虎爪豆	hu zhua dou
虎略龙韬	hu lve long tao
虎諕	hu xia
虎豹不外其爪	hu bao bu wai qi zhao
虎豹不外其爪	hu bao bu wai qi zhua
虎貔	hu pi
虎贲	hu ben
虎贲中郎将	hu ben zhong lang jiang
虎头埤	hu tou pi
虎体鹓班	hu ti yuan ban
虓阚	xiao han
处境尴尬	chu jing gan ga
处女地	chu nv di
处处长	chu chu zhang
处长	chu zhang
虚嚣	xu xiao
虚怯	xu que
虚憍恃气	xu jiao shi qi
虚给	xu ji
虚声恫吓	xu sheng dong he
虚与委蛇	xu yu wei yi
虚薄	xu bo
虚赚	xu zhuan
号天叩地	hao tian kou di
号天哭地	hao tian ku di
号天扣地	hao tian kou di
号天拍地	hao tian pai di
号天号地	hao tian hao di
号角	hao jiao
亏心短行	kui xin duan xing
虬蟠	qiu pan
虬镂亮槅	qiu lou liang ge
虬髯	qiu ran
虬髯客	qiu ran ke
虬髯客传	qiu ran ke zhuan
虬须	qiu xu
虬龙	qiu long
虼螂	ge lang
虼螂皮	ge lang pi
蚊蚋	wen rui
蚌埠	beng bu
蚌埠市	bang fu shi
蚌壳	bang ke
蚌珠	bang zhu
蚍蜉	pi fu
蚍蜉撼大树	pi fu han da shu
蚍蜉撼树	pi fu han shu
蚑行	qi xing
蚵仔煎	e zi jian
蚵仔麪线	e zi mian xian
蚶子	han zi
蚶田	han tian
蚺䗊	tian tan
蚺蛇	ran she
蛇无头而不行	she wu tou er bu xing
蛇蛇	yi yi
蛇蛻	she tui
蛇行	she xing
蛐蟮	qu shan
蛞蝓	kuo yu
蛟虬	jiao qiu
蛣蜣	jie qiang
蛤柱	ge zhu
蛤灰	ge hui
蛤粉	ge fen
蛤蚌	ge bang
蛤蚌	ge beng
蛤蚧	ge jie
蛤蜊	ge li
蛤蜊汤	ge li tang
蛤蟆	ha ma
蛤蟆吵坑	ha ma chao keng
蛤蟆蹲	ha ma dun
蛤蛎	ge li
蛻化	tui hua
蛻皮	tui pi
蛻变	shui bian
蛾子	e zi
蛾子	yi zi
蛾绿	e lu
蜂巢式行动电话系统	feng chao shi xing dong dian hua xi tong
蜂房不容鹄卵	feng fang bu rong hu luan
蜂腰削背	feng yao xue bei
蜃蛤	shen ge
蜃车	shen che
蜃车	shen ju
蜎蜎	yuan yuan
蜚短流长	fei duan liu chang
蜜柑	mi gan
蜜里调油	mi li tiao you
蜡月	zha yue
蜡祭	zha ji
蜣螂	qiang lang
蜩沸	tiao fei
蜩甲	tiao jia
蜩螗沸羹	tiao tang fei geng
蜷伏	quan fu
蜷局	quan ju
蜷曲	quan qu
蜷缩	quan suo
蜷蜿	quan wan
蜼彝	lei yi
蜿蟺	wan shan
蝃蝀	di dong
蝍蛆	ji ju
蝍蛆钳带	ji ju qian dai
蝎蝎螫螫	he he zhe zhe
蝤蛑	jiu mou
蝤蛴	qiu qi
蝥弧	mao hu
蝥贼	mao ze
虾蟆	ha ma
虾蟆子	ha ma zi
虾蟆跳在戥盘子里	ha ma tiao zai deng pan zi li
虾蟆陵	ha ma ling
蝨处裈中	shi chu kun zhong
蝮蛇螫手	fu she zhe shou
蝳蝐	dai mei
蜗居蚁蛭	gua ju yi die
蜗居蚁蛭	wo ju yi zhi
蜗行	gua xing
蜗行	wo xing
蜗角	gua jiao
蜗角	wo jiao
蜗角之争	gua jiao zhi zheng
蜗角之争	wo jiao zhi zheng
蜗角虚名	gua jiao xu ming
蜗角虚名	wo jiao xu ming
蜗角蝇头	gua jiao ying tou
蜗角蝇头	wo jiao ying tou
螃蟹	pang xie
螃蟹过河	pang xie guo he
螌蝥	ban mao
融泄	rong yi
融洽	rong qia
融洽	rong xia
螗蜩	tang tiao
蚂蚍叮腿	ma pi ding tui
蚂蚍蜉	ma pi fu
蚂蝗见血	ma huang jian xie
蚂蝗见血	ma huang jian xue
蚂螂	ma lang
螟螣	ming teng
螣蛇	teng she
螣蛇无足而飞	teng she wu zu er fei
螫伤	zhe shang
螫蝇	zhe ying
螭虎	chi hu
螭陛	chi bi
螭首	chi shou
螭魅	chi mei
螳螂	tang lang
螳螂拳	tang lang quan
螳螂捕蝉	tang lang bu chan
螳螂搏蝉	tang lang bo chan
螵蛸	piao xiao
螺蛳	luo si
螺钿	luo dian
蛰伏	zhi fu
蛰居	zhi ju
蛰兽	zhi shou
蛰蛰	zhi zhi
蛰虫	zhi chong
蛰陷	zhi xian
蛰雷	zhi lei
蟊贼	mao ze
蟋蟀	xi shuai
蟋蟀草	xi shuai cao
蟑螂	zhang lang
蟛螖	peng hua
蟠虬纹	pan qiu wen
蟠螭纹	pan chi wen
蝉蛻	chan tui
蛲虫	rao chong
虫鸣水沸	chong ming shui fei
蛏干	cheng gan
蛏子	cheng zi
蛏田	cheng tian
蟹匡蝉緌	xie kuang chan rui
蟹行	xie xing
蟹行文字	xie xing wen zi
蟺蜎	chan juan
蚁垤	yi die
蚁溃	yi kui
蚁裳	yi chang
蟾蜍	chan chu
蟿螽	qi zhong
蠁昒	xiang hu
蝇头蜗角	ying tou gua jiao
蝇头蜗角	ying tou wo jiao
虿芥	chai jie
蠍蠍螫螫	xie xie zhe zhe
蠕动	ruan dong
蠕形动物	ruan xing dong wu
蠕蠕	ruan ruan
蠖屈	huo qu
蠖屈求伸	huo qu qiu shen
蠙珠	pin zhu
蠙珠来入掌	pin zhu lai ru zhang
蜡弹	la dan
蜡查	la zha
蠠没	mi mo
蟏蛸	xiao shao
蟏蛸满堂	xiao shao man tang
蠲免	juan mian
蠲削	juan xue
蠲减	juan jian
蠲涤	juan di
蠲租	juan zu
蠲苛	juan ke
蠲赋	juan fu
蠲除	juan chu
蠲体	juan ti
蠵龟	xi gui
蚕箔	can bo
蠹啄剖梁柱	du zhuo pou liang zhu
蛮貊	man mo
蠼猱	jue nao
蠼螋	jue sou
血不归经	xie bu gui jing
血不归经	xue bu gui jing
血仇	xue chou
血债血还	xie zhai xie huan
血债血还	xue zhai xue huan
血参	xie shen
血参	xue shen
血尿	xie niao
血尿	xue niao
众口难调	zhong kou nan tiao
众所熟知	zhong suo shu zhi
众毛攒裘	zhong mao cuan qiu
众生皆有佛性	zhong sheng jie you fou xing
众目睽睽	zhong mu kui kui
众矢之的	zhong shi zhi di
行三坐五	xing san zuo wu
行不及言	xing bu ji yan
行不得	xing bu de
行不得也哥哥	xing bu de ye ge ge
行不改名	xing bu gai ming
行不更名	xing bu geng ming
行不由径	xing bu you jing
行不苟合	xing bu gou he
行不苟容	xing bu gou rong
行不行	xing bu xing
行不踰方	xing bu yu fang
行不通	xing bu tong
行不顾言	xing bu gu yan
行主	xing zhu
行之	xing zhi
行之不远	xing zhi bu yuan
行之惟艰	xing zhi wei jian
行之有效	xing zhi you xiao
行乞	xing qi
行事历	xing shi li
行人	xing ren
行人徒步区	xing ren tu bu qu
行人情	xing ren qing
行人穿越道	xing ren chuan yue dao
行令	xing ling
行以求知	xing yi qiu zhi
行伍	hang wu
行伍出身	hang wu chu shen
行佣	hang yong
行使	xing shi
行来	xing lai
行侣	xing lv
行个方便	xing ge fang bian
行仪	xing yi
行凶	xing xiong
行兵列阵	xing bing lie zhen
行兵布阵	xing bing bu zhen
行分	hang fen
行刑	xing xing
行刑场	xing xing chang
行列	hang lie
行列式	hang lie shi
行列输入法	hang lie shu ru fa
行刺	xing ci
行劫	xing jie
行动	xing dong
行动坐臥	xing dong zuo wo
行动派	xing dong pai
行动自如	xing dong zi ru
行动计划	xing dong ji hua
行动邮局	xing dong you ju
行动电话	xing dong dian hua
行化	xing hua
行化如神	xing hua ru shen
行匣	xing xia
行卷	xing juan
行取	xing qu
行口	hang kou
行口商	hang kou shang
行合趋同	xing he qu tong
行同狗彘	xing tong gou zhi
行同狗豨	xing tong gou xi
行吟	xing yin
行吟坐咏	xing yin zuo yong
行员	hang yuan
行哭	xing ku
行唐	xing tang
行商	xing shang
行善	xing shan
行吗	xing ma
行囊	xing nang
行在	xing zai
行坐	xing zuo
行坐不安	xing zuo bu an
行夜	xing ye
行大运	xing da yun
行奸卖俏	xing jian mai qiao
行好积德	xing hao ji de
行媒	xing mei
行孝	xing xiao
行客	xing ke
行宫	xing gong
行家	hang jia
行家瞧门道	hang jia qiao men dao
行家莫说力把话	hang jia mo shuo li ba hua
行家话	hang jia hua
行寡悔	xing gua hui
行将	xing jiang
行将就木	xing jiang jiu mu
行尸走肉	xing shi zou rou
行尸走骨	xing shi zou gu
行尸视肉	xing shi shi rou
行尸走肉	xing shi zou rou
行己有耻	xing ji you chi
行己有方	xing ji you fang
行市	hang shi
行师动众	xing shi dong zhong
行帮	hang bang
行年	xing nian
行幸	xing xing
行库	hang ku
行厨	xing chu
行役	xing yi
行径	xing jing
行复	xing fu
行必果	xing bi guo
行志	xing zhi
行思	xing si
行思坐想	xing si zuo xiang
行思坐忆	xing si zuo yi
行息	xing xi
行情	hang qing
行宪	xing xian
行宪纪念日	xing xian ji nian ri
行成	xing cheng
行成功满	xing cheng gong man
行成于思	xing cheng yu si
行戏	hang xi
行房	xing fang
行所无事	xing suo wu shi
行拘	xing ju
行持	xing chi
行放	xing fang
行政	xing zheng
行政中立	xing zheng zhong li
行政主管	xing zheng zhu guan
行政事业	xing zheng shi ye
行政区	xing zheng qu
行政区划	xing zheng qu hua
行政区域	xing zheng qu yu
行政区画	xing zheng qu hua
行政协调	xing zheng xie tiao
行政司法	xing zheng si fa
行政命令	xing zheng ming ling
行政执法	xing zheng zhi fa
行政学	xing zheng xue
行政官	xing zheng guan
行政官署	xing zheng guan shu
行政审批	xing zheng shen pi
行政效率	xing zheng xiao lv
行政救济	xing zheng jiu ji
行政村	xing zheng cun
行政机关	xing zheng ji guan
行政权	xing zheng quan
行政权力	xing zheng quan li
行政法	xing zheng fa
行政法规	xing zheng fa gui
行政法院	xing zheng fa yuan
行政犯	xing zheng fan
行政监督	xing zheng jian du
行政立法	xing zheng li fa
行政管理	xing zheng guan li
行政处分	xing zheng chu fen
行政处罚	xing zheng chu fa
行政行为	xing zheng xing wei
行政裁量权	xing zheng cai liang quan
行政复议	xing zheng fu yi
行政许可	xing zheng xu ke
行政诉讼	xing zheng su song
行政诉愿	xing zheng su yuan
行政警察	xing zheng jing cha
行政部	xing zheng bu
行政部门	xing zheng bu men
行政长官	xing zheng zhang guan
行政院	xing zheng yuan
行政院主计处	xing zheng yuan zhu ji chu
行政院人事行政局	xing zheng yuan ren shi xing zheng ju
行政院侨务委员会	xing zheng yuan qiao wu wei yuan hui
行政院劳工委员会	xing zheng yuan lao gong wei yuan hui
行政院大陆委员会	xing zheng yuan da lu wei yuan hui
行政院客家委员会	xing zheng yuan ke jia wei yuan hui
行政院新闻局	xing zheng yuan xin wen ju
行政院会议	xing zheng yuan hui yi
行政院海岸巡防署	xing zheng yuan hai an xun fang shu
行政院环保署	xing zheng yuan huan bao shu
行政院卫生署	xing zheng yuan wei sheng shu
行政院农业委员会	xing zheng yuan nong ye wei yuan hui
行政院青辅会	xing zheng yuan qing fu hui
行政院体育委员会	xing zheng yuan ti yu wei yuan hui
行散	xing san
行数	hang shu
行文	xing wen
行旅	xing lv
行旌	xing jing
行星	xing xing
行星仪	xing xing yi
行星状星云	xing xing zhuang xing yun
行星风	xing xing feng
行春	xing chun
行时	xing shi
行景	xing jing
行书	xing shu
行会	hang hui
行有余力	xing you yu li
行期	xing qi
行李	xing li
行李箱	xing li xiang
行李袋	xing li dai
行杖	xing zhang
行东	hang dong
行枷	xing jia
行栈	hang zhan
行业协会	hang ye xie hui
行业标準	hang ye biao zhun
行业发展	hang ye fa zhan
行业管理	hang ye guan li
行业自律	hang ye zi lv
行业语	hang ye yu
行业资讯	hang ye zi xun
行业龙头	hang ye long tou
行乐	xing le
行乐图	xing le tu
行档	hang dang
行检	xing jian
行权	xing quan
行权立断	xing quan li duan
行款	hang kuan
行歌	xing ge
行止	xing zhi
行步如风	xing bu ru feng
行步如飞	xing bu ru fei
行水	xing shui
行满功圆	xing man gong yuan
行满功成	xing man gong cheng
行潦	xing lao
行浊言清	xing zhuo yan qing
行炙	xing zhi
行无越思	xing wu yue si
行照	xing zhao
行灯	xing deng
行营	xing ying
行为	xing wei
行为主义	xing wei zhu yi
行为人	xing wei ren
行为模式	xing wei mo shi
行为派	xing wei pai
行为準则	xing wei zhun ze
行为科学	xing wei ke xue
行为能力	xing wei neng li
行为艺术	xing wei yi shu
行为艺术者	xing wei yi shu zhe
行为规范	xing wei gui fan
行状	xing zhuang
行猎	xing lie
行略	xing lve
行当	hang dang
行疾如飞	xing ji ru fei
行百里者半於九十	xing bai li zhe ban yu jiu shi
行监坐守	xing jian zuo shou
行省	xing sheng
行看子	xing kan zi
行眠立盹	xing mian li dun
行短	xing duan
行短才乔	xing duan cai qiao
行短才高	xing duan cai gao
行祠	xing ci
行福	xing fu
行礼	xing li
行程	xing cheng
行窝	xing wo
行灶	xing zao
行窃	xing qie
行童	xing tong
行笔	xing bi
行箧	xing qie
行笃敬	xing du jing
行粮	xing liang
行经	xing jing
行经期	xing jing qi
行老	hang lao
行者	xing zhe
行而不远	xing er bu yuan
行聘	xing pin
行能	xing neng
行腔	xing qiang
行脚	xing jiao
行脚僧	xing jiao seng
行至	xing zhi
行台	xing tai
行舟	xing zhou
行船	xing chuan
行色	xing se
行色匆匆	xing se cong cong
行若无事	xing ruo wu shi
行若狗彘	xing ruo gou zhi
行菜	xing cai
行万里路	xing wan li lu
行苇	xing wei
行藏	xing cang
行药	xing yao
行号	hang hao
行号巷哭	hang hao xiang ku
行亏名缺	xing kui ming que
行血	xing xue
行行	hang hang
行行	xing xing
行行出状元	hang hang chu zhuang yuan
行行忽忽	xing xing hu hu
行行蛇蚓	hang hang she yin
行装	xing zhuang
行规	hang gui
行诈	xing zha
行话	hang hua
行谊	xing yi
行财	xing cai
行贩	xing fan
行贿	xing hui
行贾	xing gu
行赇	xing qiu
行走	xing zou
行走如飞	xing zou ru fei
行距	hang ju
行迹	xing ji
行路	xing lu
行路难	xing lu nan
行踏	xing ta
行踪	xing zong
行踪无定	xing zong wu ding
行踪飘忽	xing zong piao hu
行车	xing che
行车执照	xing che zhi zhao
行车距离	xing che che li
行车距离	xing che ju li
行车速率	xing che su lv
行军	xing jun
行军动众	xing jun dong zhong
行军床	xing jun chuang
行辈	hang bei
行辕	xing yuan
行速	xing su
行进	xing jin
行游	xing you
行道树	xing dao shu
行远自迩	xing yuan zi er
行遣	xing qian
行迟	xing chi
行郎	xing lang
行都	xing du
行酒	xing jiu
行酒令	xing jiu ling
行医	xing yi
行针步线	xing zhen bu xian
行销	xing xiao
行销学	xing xiao xue
行铺	hang pu
行钱	xing qian
行鍼	xing zhen
行鍼布线	xing zhen bu xian
行鍼走线	xing zhen zou xian
行长	hang zhang
行开	xing kai
行间	hang jian
行关	xing guan
行院	hang yuan
行阵	hang zhen
行障	xing zhang
行随事迁	xing sui shi qian
行雨朝云	xing yu zhao yun
行云	xing yun
行云流水	xing yun liu shui
行露	hang lu
行露	xing lu
行食	xing shi
行饭	xing fan
行馆	xing guan
行首	hang shou
行香	xing xiang
行驶	xing shi
行驶证	xing shi zheng
行骗	xing pian
衒玉贾石	xuan yu gu shi
街角	jie jiao
卫从	wei cong
卫从	wei zong
卫星都市	wei xing du shi
冲劲	chong jin
冲坚陷阵	chong jian xian zhen
冲州撞府	chong zhou zhuang fu
冲撞	chong zhuang
冲锋陷阵	chong feng xian zhen
冲陷	chong xian
衡行	heng xing
衣不曳地	yi bu ye di
衣不曳地	yi bu yi di
衣不重帛	yi bu zhong bo
衣不重采	yi bu zhong cai
衣冠盛事	yi guan sheng shi
衣冠礼乐	yi guan li yue
衣着	yi zhuo
衣着打扮	yi zhuo da ban
衣绣夜行	yi xiu ye xing
衣绣昼行	yi xiu zhou xing
衣裳	yi shang
衣裳之会	yi chang zhi hui
衣裳楚楚	yi chang chu chu
衣角	yi jiao
衣车	yi che
衣车	yi ju
衣锦夜行	yi jin ye xing
衣锦还乡	yi jin huan xiang
衣食住行	yi shi zhu xing
表揭	biao jie
表率	biao shuai
表识	biao zhi
表露	biao lu
衾枕之乐	qin zhen zhi le
袁枢	yuan shu
袍笏	pao hu
袍笏登场	pao hu deng chang
袒免	tan wen
袒胸露背	tan xiong lu bei
袒裼	tan xi
袒裼裸裎	tan xi luo cheng
袒露	tan lu
袜肚	mo du
衮州八伯	gun zhou ba bo
袤广	mao guang
被上	pi shang
被执行人	bei zhi xing ren
被坚执锐	pi jian zhi rui
被山带河	bei shan dai he
被山带河	pi shan dai he
被甲	pi jia
被甲兵	pi jia bing
被祸	pi huo
被罪	pi zui
被肩	pi jian
被虐待狂	bei nve dai kuang
被褐	pi he
被褐怀宝	pi he huai bao
被褐怀玉	pi he huai yu
被褐怀珠	pi he huai zhu
被褐怀金	pi he huai jin
被褐藏辉	pi he cang hui
被头散发	pi tou san fa
被发	pi fa
被发佯狂	pi fa yang kuang
被发入山	pi fa ru shan
被发左衽	pi fa zuo ren
被发缨冠	pi fa ying guan
被发阳狂	pi fa yang kuang
袷衣	jia yi
袷裙	jia qun
裁度	cai duo
裂地	lie di
裂殖菌	lie zhi jun
裂片生殖	lie pian sheng zhi
裂眦嚼齿	lie zi jue chi
裂裳裹膝	lie chang guo xi
裂裳裹足	lie chang guo zu
裂隙	lie xi
袅娜	niao nuo
裋褐	shu he
里急后重	li ji hou zhong
裘葛之遗	qiu ge zhi wei
裛裛	yi yi
补偿	bu chang
补偿作用	bu chang zuo yong
补偿支付	bu chang zhi fu
补偿教育	bu chang jiao yu
补偿财政	bu chang cai zheng
补偿费	bu chang fei
补垣塞穴	bu yuan se xue
补掛朝珠	bu gua chao zhu
补校	bu xiao
补气止血	bu qi zhi xie
补气止血	bu qi zhi xue
补给	bu gei
补给	bu ji
补给品	bu ji pin
补给站	bu ji zhan
补给线	bu ji xian
补给证	bu ji zheng
补习学校	bu xi xue xiao
补苴	bu ju
补苴罅漏	bu ju xia lou
补苴调胹	bu ju tiao er
补葺	bu qi
补血	bu xie
补血	bu xue
补角	bu jiao
补还	bu huan
装帧	zhuang zheng
裨将	pi jiang
裨海	pi hai
裨益	bi yi
裨补阙漏	bi bu que lou
裨贩	pi fan
裳帏	chang wei
裳衣	chang yi
裳裳	chang chang
裳裳者华	chang chang zhe hua
裴伦	pei lun
裴回	pei hui
裴夫斯奈尔	pei fu si nai er
裴少俊	pei shao jun
裴岑纪功碑	pei cen ji gong bei
裴度	pei du
裴松之	pei song zhi
裴特	pei te
裴矩	pei ju
裴秀	pei xiu
裴航	pei hang
裴航遇云英	pei hang yu yun ying
裴莱吉伍斯一世	pei lai ji wu si yi shi
裴莱吉伍斯二世	pei lai ji wu si er shi
裴行俭	pei xing jian
裴迪	pei di
裴頠	pei wei
裴骃	pei yin
裴高累西	pei gao lei xi
裸露	luo lu
裹抹	guo mo
裹挟	guo xie
裹螺蛳	guo luo si
裹角	guo jiao
制坯	zhi pei
褊小	bian xiao
褊心	bian xin
褊急	bian ji
褊浅	bian qian
褊激	bian ji
褊狭	bian xia
褊狭小器	bian xia xiao qi
褊窄	bian zhai
褊能	bian neng
褊褼	pian xian
褊躁	bian zao
褊迫	bian po
褊陋	bian lou
褊隘	bian ai
裈中	kun zhong
裈裆	kun dang
褎如充耳	you ru chong er
褎然	you ran
褎然举首	you ran ju shou
褒弹	bao tan
褚威格	chu wei ge
褚少孙	chu shao sun
褚衣	chu yi
褚遂良	chu sui liang
褦襶	nai dai
褪下	tui xia
褪下	tun xia
褪前擦后	tun qian ca hou
褪去	tui qu
褪去	tun qu
褪口	tun kou
褪毛	tui mao
褪毛	tun mao
褪膊	tun bo
褪色	tui se
褪色	tui shai
褪色	tun se
褪衣	tun yi
褫夺	chi duo
褫夺公权	chi duo gong quan
褫职	chi zhi
褫革	chi ge
褫魄	chi po
褯子	jie zi
褰裳	qian chang
裤褶	ku xi
褶子	xi zi
褶子	xue zi
褶子	zhe zi
襂纚	shan shi
襒席	bie xi
襜帷	chan wei
襜褕	chan yu
襜襜	chan chan
裆劲	dang jin
西伯	xi bo
西伯利亚	xi bo li ya
西伯利亚反气旋	xi bo li ya fan qi xuan
西伯利亚铁路	xi bo li ya tie lu
西北地区	xi bei di qu
西南地区	xi nan di qu
西堤	xi di
西堤	xi ti
西塞罗	xi sai luo
西山日薄	xi shan ri bo
西拉山地	xi la shan di
西方极乐世界	xi fang ji le shi jie
西柏林	xi bo lin
西乐	xi yue
西泠八家	xi ling ba jia
西泠十子	xi ling shi zi
西泠桥	xi ling qiao
西洋参	xi yang shen
西海岸爵士乐	xi hai an jue shi yue
西班牙音乐	xi ban ya yin yue
西番果	xi fan guo
西番莲	xi fan lian
西蒙逊	xi meng xun
西藏	xi zang
西藏佛教	xi zang fo jiao
西藏地方	xi zang di fang
西行	xi xing
西调	xi diao
西部地区	xi bu di qu
西部地方	xi bu di fang
西都	xi du
西都赋	xi du fu
西乡隆盛	xi xiang long sheng
西门町	xi men ding
西陆	xi lu
西点军校	xi dian jun xiao
要做什么	yao zuo shen me
要价还价	yao jia huan jia
要地	yao di
要塞	yao sai
要怎么收获	yao zen mo shou huo
要挟	yao xie
要的	yao de
要绖	yao die
要角	yao jiao
要隘	yao ai
覃思	tan si
覃恩	tan en
覆地翻天	fu di fan tian
覆帱	fu dao
覆校	fu jiao
覆没	fu mo
覆盖率	fu gai lv
覆车之辙	fu che zhi che
覆车之辙	fu che zhi zhe
覆辙	fu che
覆辙	fu zhe
覆辙重蹈	fu che chong dao
覆辙重蹈	fu zhe chong dao
覆露	fu lu
见不着	jian bu zhao
见不长	jian bu zhang
见世报	xian shi bao
见在	xian zai
见在佛	xian zai fo
见地	jian di
见弹求鸮	jian dan qiu xiao
见弹而求鸮炙	jian dan er qiu xiao zhi
见得着	jian de zhao
见微知著	jian wei zhi zhu
见意	xian yi
见成	xian cheng
见机行事	jian ji xing shi
见着	jian zhao
见粮	xian liang
见绌	jian chu
见血封喉	jian xie feng hou
见血封喉	jian xue feng hou
见钱	xian qian
见钟不打	xian zhong bu da
规外行动	gui wai xing dong
规定地价	gui ding di jia
规行矩止	gui xing ju zhi
规行矩步	gui xing ju bu
规重矩叠	gui chong ju die
视如土芥	shi ru tu jie
视如草芥	shi ru cao jie
视微知著	shi wei zhi zhu
视朝	shi chao
视若草芥	shi ruo cao jie
视觉	shi jue
视觉器	shi jue qi
视觉悬崖	shi jue xuan ya
视觉悬崖	shi jue xuan yai
视觉效果	shi jue xiao guo
视觉空间	shi jue kong jian
视觉艺术	shi jue yi shu
视觉冲击	shi jue chong ji
视觉适应	shi jue shi ying
视角	shi jiao
亲太太	qing tai tai
亲奶奶	qing nai nai
亲娘	qin niang
亲娘	qing niang
亲家	qing jia
亲家公	qing jia gong
亲家母	qing jia mu
亲家礼道	qing jia li dao
亲家翁	qing jia weng
亲家老爷	qing jia lao ye
亲房	qing fang
亲爹	qin die
亲爹	qing die
亲率	qin shuai
亲痛仇快	qin tong chou kuai
亲翁	qing weng
亲著	qin zhu
觊倖	ji xing
觊觎	ji yu
觊觎之心	ji yu zhi xin
觊觎之志	ji yu zhi zhi
觊豁	ji huo
觐礼	jin li
觐见	jin jian
觐谒	jin ye
觉世	jue shi
觉他	jue ta
觉剑	jue jian
觉察	jue cha
觉寤	jue wu
觉得	jue de
觉得很	jue de hen
