㓦划	bo hua
之地	zhi di
之乐	zhi le
之死靡他	zhi si mi ta
之死靡他	zhi si mi tuo
之死靡它	zhi si mi ta
之死靡它	zhi si mi tuo
之行	zhi xing
之都	zhi du
之重	zhi zhong
之长	zhi chang
乍入芦圩	zha ru lu yu
乍暖还寒	zha nuan huan han
乍熟	zha shu
乏地	fa di
乖戾	guai li
乖舛	guai chuan
乖觉	guai jue
乖觉可喜	guai jue ke xi
乖角	guai jiao
乖调	guai diao
乖谬	guai miu
乖离率	guai li lv
乘传	cheng zhuan
乘伪行诈	cheng wei xing zha
乘胜逐北	cheng sheng zhu bo
乘长风破万里浪	cheng chang feng po wan li lang
乘间投隙	cheng jian tou xi
乘隙	cheng xi
乘隙而入	cheng xi er ru
乘马	cheng ma
乘马	sheng ma
乙炔	yi que
乙醯水杨酸	yi xi shui yang suan
乜乜屑屑	mie mie xie xie
乜乜踅踅	mie mie xue xue
九世之仇	jiu shi zhi chou
九二一大地震	jiu er yi da di zhen
九地	jiu di
九垓	jiu gai
九嶷山	jiu yi shan
九芎	jiu qiong
九还丹	jiu huan dan
九重	jiu chong
九重天	jiu chong tian
九重葛	jiu chong ge
九重霄	jiu chong xiao
乞乞缩缩	qi qi su su
乞乞缩缩	qi qi suo suo
乞留玎琅	qi liu ding lang
乞降	qi xiang
也不揽那磁器家伙	ye bu lan na ci qi jia huo
也得蒸熟吃	ye dei zheng shou chi
也曾	ye ceng
也行	ye xing
也么哥	ye mo ge
乣军	diu jun
乳哺	ru bu
乳浊液	ru zhuo ye
乳臭	ru xiu
乳臭小子	ru xiu xiao zi
乳臭未干	ru xiu wei gan
干干	qian qian
干干净净	gan gan jing jing
干井	gan jing
干元	qian yuan
干儿子	gan er zi
干冰	gan bing
干冷	gan leng
干刻版	gan ke ban
干剥剥	gan bo bo
干吊着下巴	gan diao zhe xia ba
干和	gan he
干咳	gan ke
干咽	gan ye
干哭	gan ku
干啼湿哭	gan ti shi ku
干乔	gan qiao
干呕	gan ou
干哕	gan yue
干嚎	gan hao
干咽唾	gan yan tuo
干回付	gan hui fu
干圆洁净	gan yuan jie jing
干图	qian tu
乾坤	qian kun
乾坤一掷	qian kun yi zhi
乾坤再造	qian kun zai zao
干坞	gan wu
干女儿	gan nv er
干奴才	gan nu cai
干妹妹	gan mei mei
干娘	gan niang
干妈	gan ma
干季	gan ji
干宅	qian zhai
干屎橛	gan shi jue
干巴	gan ba
干巴巴	gan ba ba
干巴疵咧	gan ba ci lie
干急	gan ji
干打雷	gan da lei
干折	gan zhe
干撂台	gan liao tai
干撇下	gan pie xia
干擦	gan ca
干支剌	gan zhi la
干支支	gan zhi zhi
干敲梆子不卖油	gan qiao bang zi bu mai you
干料	gan liao
干断	qian duan
干旦	qian dan
干旱	gan han
干暖	gan nuan
干曜	qian yao
干村沙	gan cun sha
干杯	gan bei
干果	gan guo
干枯	gan ku
干柴	gan chai
干柴烈火	gan chai lie huo
干梅	gan mei
干死	gan si
干没	gan mo
干洗	gan xi
干涸	gan he
干净	gan jing
干净俐落	gan jing li luo
干净爽利	gan jing shuang li
干清宫	qian qing gong
干渴	gan ke
干溼	gan shi
干涩	gan se
干熬	gan ao
干热	gan re
干燥	gan zao
干燥剂	gan zao ji
干燥器	gan zao qi
干燥机	gan zao ji
干燥气候	gan zao qi hou
干燥箱	gan zao xiang
干燥花	gan zao hua
干爹	gan die
干爽	gan shuang
干片	gan pian
干生受	gan sheng shou
干生子	gan sheng zi
干产	gan chan
干疥	gan jie
干瘦	gan shou
干瘪	gan bie
干眼症	gan yan zheng
干着	gan zhe
干着急	gan zhao ji
干瞪眼	gan deng yan
干礼	gan li
干稿	gan gao
干笑	gan xiao
干等	gan deng
干篾片	gan mie pian
干粉	gan fen
干粮	gan liang
干红	qian hong
干结	gan jie
干丝	gan si
干纲	qian gang
干罢	gan ba
干耗	gan hao
干股	gan gu
干肥	gan fei
干脆	gan cui
干脆爽快	gan cui shuang kuai
干花	gan hua
干刍	gan chu
干苔	gan tai
干茨腊	gan ci la
干茶钱	gan cha qian
干草	gan cao
干菜	gan cai
干落	gan lao
干落得	gan lao de
干姜	gan jiang
干薪	gan xin
干虔	gan qian
干号	gan hao
干衣机	gan yi ji
干裂	gan lie
干亲	gan qin
干亲家	gan qing jia
干象	qian xiang
干货	gan huo
干货船	gan huo chuan
干造	qian zao
干逼	gan bi
干道	qian dao
干酪	gan lao
干酪	gan luo
干量	gan liang
干阿嬭	gan a nai
乾陵	qian ling
乾隆	qian long
干电池	gan dian chi
干霍乱	gan huo luan
干颡	gan sang
干台	gan tai
干饭	gan fan
干馆	gan guan
干糇	gan hou
干糇以愆	gan hou yi qian
干馏	gan liu
干鱼与猫作枕头	gan yu yu mao zuo zhen tou
干麪	gan mian
乱三搅四	luan san jiao si
乱嚼舌头	luan jiao she tou
乱弹	luan tan
乱撞	luan zhuang
乱箭攒心	luan jian cuan xin
乱颤	luan chan
了不得	liao bu de
了不成	liao bu cheng
了不起	liao bu qi
了了	liao liao
了事	liao shi
了事环	liao shi huan
了亮	liao liang
了债	liao zhai
了劣	liao lie
了却	liao que
了如指掌	liao ru zhi zhang
了局	liao ju
了帐	liao zhang
了得	liao de
了得了	liao de liao
了悟	liao wu
了手	liao shou
了收	liao shou
了断	liao duan
了案	liao an
了此残生	liao ci can sheng
了决	liao jue
了清	liao qing
了无	liao wu
了无掛碍	liao wu gua ai
了无新意	liao wu xin yi
了无牵掛	liao wu qian gua
了无生机	liao wu sheng ji
了无生趣	liao wu sheng qu
了无痕迹	liao wu hen ji
了无罣碍	liao wu gua ai
了无长进	liao wu zhang jin
了然	liao ran
了然不惑	liao ran bu huo
了毕	liao bi
了当	liao dang
了当不得	liao dang bu de
了纳	liao na
了结	liao jie
了落	liao luo
了解	liao jie
了解情况	liao jie qing kuang
了讫	liao qi
了话	liao hua
了语	liao yu
了账	liao zhang
了身达命	liao shen da ming
了愿	liao yuan
了鸟	liao diao
事在必行	shi zai bi xing
事急马行田	shi ji ma xing tian
事生肘腋	shi sheng zhou ye
事畜	shi xu
事关重大	shi guan zhong da
二乘	er sheng
二伯	er ba
二伯	er bo
二传	er zhuan
二十五弦	er shi wu xian
二十八宿	er shi ba xiu
二十八调	er shi ba diao
二千石	er qian dan
二和药	er huo yao
二地主	er di zhu
二弦	er xian
二手烟	er shou yan
二朝廷	er chao ting
二朝王醮	er zhao wang jiao
二絃	er xian
二缶钟惑	er fou zhong huo
二行程	er xing cheng
二轴晶	er zhou jing
二重分类表	er chong fen lei biao
二重唱	er chong chang
二重国籍	er chong guo ji
二重奏	er chong zou
二重性	er chong xing
二陆	er lu
二面角	er mian jiao
二鞑子吃螺蛳	er da zi chi luo si
于嗟	xu jie
于思	yu sai
于阗	yu tian
于飞之乐	yu fei zhi le
互调	hu diao
五一长假	wu yi chang jia
五伯	wu ba
五侯鲭	wu hou zheng
五度制调值标记法	wu du zhi diao zhi biao ji fa
五方杂厝	wu fang za cuo
五旦七调	wu dan qi diao
五月披裘	wu yue pi qiu
五熟行	wu shou hang
五畜	wu chu
五百	wu bai
五百	wu bo	0%
五谷丰稔	wu gu feng ren
五经扫地	wu jing sao di
五蕴	wu yun
五行	wu xing
五行并下	wu hang bing xia
五行俱下	wu hang ju xia
五行八作	wu hang ba zuo
五行四柱	wu xing si zhu
五角六张	wu jue lu zhang
五角场	wu jiao chang
五角大厦	wu jiao da xia
五角大楼	wu jiao da lou
五言长城	wu yan chang cheng
五车	wu che
五车	wu ju
五辟	wu bi
五体投地	wu ti tou di
井地	jing di
井宿	jing xiu
井干	jing han
井榦	jing han
井渫不食	jing xie bu shi
井蛙醯鸡	jing wa xi ji
亘古	gen gu
亘古亘今	gen gu gen jin
亘古未有	gen gu wei you
些什么	xie shen me
亚伯拉罕	ya bo la han
亚塞拜然	ya se bai ran
亚塞拜然共和国	ya se bai ran gong he guo
亚太地区	ya tai di qu
亚洲开发银行	ya zhou kai fa yin hang
亚硫酐	ya liu gan
亡是公	wu shi gong
亡血家	wang xie jia
亡血家	wang xue jia
交差	jiao chai
交差了事	jiao chai liao shi
交情乃见	jiao qing nai xian
交恶	jiao wu
交行	jiao hang
交角	jiao jiao
交谪	jiao zhe
交通壅塞	jiao tong yong se
交通银行	jiao tong yin hang
交还	jiao huan
交还给	jiao huan gei
交响乐	jiao xiang yue
交响乐团	jiao xiang yue tuan
享乐	xiang le
享乐主义	xiang le zhu yi
京畿	jing ji
京畿令	jing ji ling
京调	jing diao
京都	jing du
亭长	ting zhang
亮色调	liang se diao
亮阴	liang an
亹亹	wei wei
亹亹不倦	wei wei bu juan
亹亹不卷	wei wei bu juan
人事不省	ren shi bu xing
人事行政	ren shi xing zheng
人杰地灵	ren jie di ling
人力银行	ren li yin hang
人勤地不懒	ren qin di bu lan
人参	ren shen
人参果	ren shen guo
人口自然增加率	ren kou zi ran zeng jia lv
人地	ren di
人地两疏	ren di liang shu
人地生疏	ren di sheng shu
人地相宜	ren di xiang yi
人工繁殖	ren gong fan zhi
人工养殖	ren gong yang zhi
人心似铁	ren xin si tie
人怕落囤	ren pa luo dun
人情薄似纸	ren qing bo si zhi
人文地理学	ren wen di li xue
人文荟萃	ren wen hui cui
人是地行仙	ren shi di xing xian
人是衣裳	ren shi yi shang
人是谁	ren shi shui
人民银行	ren min yin hang
人物阗咽	ren wu tian ye
人生如朝露	ren sheng ru zhao lu
人生朝露	ren sheng zhao lu
人生自古谁无死	ren sheng zi gu shei wu si
人生路不熟	ren sheng lu bu shu
人生面不熟	ren sheng mian bu shu
人畜	ren chu
人百其身	ren bo qi shen
人给家足	ren ji jia zu
人声鼎沸	ren sheng ding fei
人行	ren hang
人行道	ren xing dao
人言凿凿	ren yan zao zao
人言凿凿	ren yan zuo zuo
人造纤维	ren zao xian wei
人间地狱	ren jian di yu
人头畜鸣	ren tou chu ming
人头落地	ren tou luo di
什一	shi yi
什一之利	shi yi zhi li
什不闲	shi bu xian
什伯	shi bo
什器	shi qi
什物	shi wu
什百	shi bai
什叶派	shi ye pai
什袭	shi xi
什袭珍藏	shi xi zhen cang
什锦	shi jin
什面	shi mian
什么	she me
什么	shen me
什么事情	shen me shi qing
什么人	shen me ren
什么作用	shen me zuo yong
什么原因	shen me yuan yin
什么叫	shen me jiao
什么叫做	shen me jiao zuo
什么名字	shen me ming zi
什么呢	shen me ne
什么啊	shen me a
什么问题	shen me wen ti
什么地方	shen me di fang
什么好	shen me hao
什么情况	shen me qing kuang
什么意思	shen me yi si
什么时候	shen me shi hou
什么时间	shen me shi jian
什么书	shen me shu
什么东东	shen me dong dong
什么东西	shen me dong xi
什么样	shen me yang
什么样子	shen me yang zi
什么歌	shen me ge
什么牌子	shen me pai zi
什么用	shen me yong
什么病	shen me bing
什么的	shen me de
什么程度	shen me cheng du
什么药	shen me yao
什么话	shen me hua
什么车	shen me che
什么关系	shen me guan xi
什么颜色	shen me yan se
仁者乐山	ren zhe yao shan
仂语	le yu
仄行	ze xing
仆地	pu de
仆然	pu ran
仇人	chou ren
仇人相见	chou ren xiang jian
仇仇	qiu qiu
仇偶	qiu ou
仇国论	chou guo lun
仇家	chou jia
仇怨	chou yuan
仇恨	chou hen
仇敌	chou di
仇杀	chou sha
仇疙瘩	chou ge da
仇者快	chou zhe kuai
仇英	qiu ying
仇视	chou shi
仇隙	chou xi
仇香	chou xiang
今朝	jin zhao
今朝有酒今朝醉	jin zhao you jiu jin zhao zui
今番	jin fan
仔仔	zai zai
仔密	zi mi
仔牛肉	zai niu rou
仔细	zi xi
仔细看	zi xi kan
仔细阅读	zi xi yue du
仔肩	zi jian
仔么	zai me
他们俩	ta men lia
他懑	ta men
